Codigo_region;Circunscripción_senatorial;Distrito;region;comuna;votos_validos_opcion;opcion;votos_opcion
3;CIRCUNSCRIPCION SENATORIAL 4;DISTRITO 4;DE ATACAMA;TIERRA AMARILLA;0;VOTOS EN BLANCO;197
3;CIRCUNSCRIPCION SENATORIAL 4;DISTRITO 4;DE ATACAMA;TIERRA AMARILLA;0;VOTOS NULOS;542
3;CIRCUNSCRIPCION SENATORIAL 4;DISTRITO 4;DE ATACAMA;VALLENAR;13842;A FAVOR;13.842
3;CIRCUNSCRIPCION SENATORIAL 4;DISTRITO 4;DE ATACAMA;VALLENAR;22812;EN CONTRA;22.812
3;CIRCUNSCRIPCION SENATORIAL 4;DISTRITO 4;DE ATACAMA;VALLENAR;0;VOTOS EN BLANCO;635
3;CIRCUNSCRIPCION SENATORIAL 4;DISTRITO 4;DE ATACAMA;VALLENAR;0;VOTOS NULOS;1.801
4;CIRCUNSCRIPCION SENATORIAL 5;DISTRITO 5;DE COQUIMBO;ANDACOLLO;2984;A FAVOR;2.984
4;CIRCUNSCRIPCION SENATORIAL 5;DISTRITO 5;DE COQUIMBO;ANDACOLLO;6262;EN CONTRA;6.262
4;CIRCUNSCRIPCION SENATORIAL 5;DISTRITO 5;DE COQUIMBO;ANDACOLLO;0;VOTOS EN BLANCO;190
4;CIRCUNSCRIPCION SENATORIAL 5;DISTRITO 5;DE COQUIMBO;ANDACOLLO;0;VOTOS NULOS;444
4;CIRCUNSCRIPCION SENATORIAL 5;DISTRITO 5;DE COQUIMBO;CANELA;2784;A FAVOR;2.784
4;CIRCUNSCRIPCION SENATORIAL 5;DISTRITO 5;DE COQUIMBO;CANELA;4440;EN CONTRA;4.440
4;CIRCUNSCRIPCION SENATORIAL 5;DISTRITO 5;DE COQUIMBO;CANELA;0;VOTOS EN BLANCO;206
4;CIRCUNSCRIPCION SENATORIAL 5;DISTRITO 5;DE COQUIMBO;CANELA;0;VOTOS NULOS;304
4;CIRCUNSCRIPCION SENATORIAL 5;DISTRITO 5;DE COQUIMBO;COMBARBALA;3187;A FAVOR;3.187
4;CIRCUNSCRIPCION SENATORIAL 5;DISTRITO 5;DE COQUIMBO;COMBARBALA;6065;EN CONTRA;6.065
4;CIRCUNSCRIPCION SENATORIAL 5;DISTRITO 5;DE COQUIMBO;COMBARBALA;0;VOTOS EN BLANCO;256
4;CIRCUNSCRIPCION SENATORIAL 5;DISTRITO 5;DE COQUIMBO;COMBARBALA;0;VOTOS NULOS;504
4;CIRCUNSCRIPCION SENATORIAL 5;DISTRITO 5;DE COQUIMBO;COQUIMBO;60623;A FAVOR;60.623
4;CIRCUNSCRIPCION SENATORIAL 5;DISTRITO 5;DE COQUIMBO;COQUIMBO;90162;EN CONTRA;90.162
4;CIRCUNSCRIPCION SENATORIAL 5;DISTRITO 5;DE COQUIMBO;COQUIMBO;0;VOTOS EN BLANCO;2.686
4;CIRCUNSCRIPCION SENATORIAL 5;DISTRITO 5;DE COQUIMBO;COQUIMBO;0;VOTOS NULOS;7.217
4;CIRCUNSCRIPCION SENATORIAL 5;DISTRITO 5;DE COQUIMBO;ILLAPEL;7553;A FAVOR;7.553
4;CIRCUNSCRIPCION SENATORIAL 5;DISTRITO 5;DE COQUIMBO;ILLAPEL;14834;EN CONTRA;14.834
4;CIRCUNSCRIPCION SENATORIAL 5;DISTRITO 5;DE COQUIMBO;ILLAPEL;0;VOTOS EN BLANCO;462
4;CIRCUNSCRIPCION SENATORIAL 5;DISTRITO 5;DE COQUIMBO;ILLAPEL;0;VOTOS NULOS;1.067
4;CIRCUNSCRIPCION SENATORIAL 5;DISTRITO 5;DE COQUIMBO;LA HIGUERA;1515;A FAVOR;1.515
4;CIRCUNSCRIPCION SENATORIAL 5;DISTRITO 5;DE COQUIMBO;LA HIGUERA;2050;EN CONTRA;2.050
4;CIRCUNSCRIPCION SENATORIAL 5;DISTRITO 5;DE COQUIMBO;LA HIGUERA;0;VOTOS EN BLANCO;95
4;CIRCUNSCRIPCION SENATORIAL 5;DISTRITO 5;DE COQUIMBO;LA HIGUERA;0;VOTOS NULOS;219
4;CIRCUNSCRIPCION SENATORIAL 5;DISTRITO 5;DE COQUIMBO;LA SERENA;64682;A FAVOR;64.682
4;CIRCUNSCRIPCION SENATORIAL 5;DISTRITO 5;DE COQUIMBO;LA SERENA;93187;EN CONTRA;93.187
4;CIRCUNSCRIPCION SENATORIAL 5;DISTRITO 5;DE COQUIMBO;LA SERENA;0;VOTOS EN BLANCO;2.203
4;CIRCUNSCRIPCION SENATORIAL 5;DISTRITO 5;DE COQUIMBO;LA SERENA;0;VOTOS NULOS;6.457
4;CIRCUNSCRIPCION SENATORIAL 5;DISTRITO 5;DE COQUIMBO;LOS VILOS;5437;A FAVOR;5.437
4;CIRCUNSCRIPCION SENATORIAL 5;DISTRITO 5;DE COQUIMBO;LOS VILOS;9876;EN CONTRA;9.876
4;CIRCUNSCRIPCION SENATORIAL 5;DISTRITO 5;DE COQUIMBO;LOS VILOS;0;VOTOS EN BLANCO;296
4;CIRCUNSCRIPCION SENATORIAL 5;DISTRITO 5;DE COQUIMBO;LOS VILOS;0;VOTOS NULOS;720
4;CIRCUNSCRIPCION SENATORIAL 5;DISTRITO 5;DE COQUIMBO;MONTE PATRIA;8778;A FAVOR;8.778
4;CIRCUNSCRIPCION SENATORIAL 5;DISTRITO 5;DE COQUIMBO;MONTE PATRIA;13230;EN CONTRA;13.230
4;CIRCUNSCRIPCION SENATORIAL 5;DISTRITO 5;DE COQUIMBO;MONTE PATRIA;0;VOTOS EN BLANCO;525
4;CIRCUNSCRIPCION SENATORIAL 5;DISTRITO 5;DE COQUIMBO;MONTE PATRIA;0;VOTOS NULOS;1.043
4;CIRCUNSCRIPCION SENATORIAL 5;DISTRITO 5;DE COQUIMBO;OVALLE;32294;A FAVOR;32.294
