Codigo_region;Circunscripción_senatorial;Distrito;region;comuna;votos_validos_candidato;candidato;votos_candidato
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;ANTOFAGASTA;9976;SEBASTIAN SICHEL RAMIREZ;9976
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;ANTOFAGASTA;1635;EDUARDO ARTES BRICHETTI;1635
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;ANTOFAGASTA;8870;MARCO ENRIQUEZ-OMINAMI GUMUCIO;8870
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;ANTOFAGASTA;36308;FRANCO ALDO PARISI FERNANDEZ;36308
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;ANTOFAGASTA;0;VOTOS EN BLANCO;384
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;ANTOFAGASTA;0;VOTOS NULOS;958
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;CALAMA;8984;GABRIEL BORIC FONT;8984
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;CALAMA;11688;JOSE ANTONIO KAST RIST;11688
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;CALAMA;4912;YASNA PROVOSTE CAMPILLAY;4912
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;CALAMA;3589;SEBASTIAN SICHEL RAMIREZ;3589
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;CALAMA;595;EDUARDO ARTES BRICHETTI;595
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;CALAMA;3910;MARCO ENRIQUEZ-OMINAMI GUMUCIO;3910
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;CALAMA;23638;FRANCO ALDO PARISI FERNANDEZ;23638
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;CALAMA;0;VOTOS EN BLANCO;189
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;CALAMA;0;VOTOS NULOS;522
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;MARIA ELENA;265;GABRIEL BORIC FONT;265
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;MARIA ELENA;212;JOSE ANTONIO KAST RIST;212
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;MARIA ELENA;148;YASNA PROVOSTE CAMPILLAY;148
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;MARIA ELENA;73;SEBASTIAN SICHEL RAMIREZ;73
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;MARIA ELENA;34;EDUARDO ARTES BRICHETTI;34
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;MARIA ELENA;118;MARCO ENRIQUEZ-OMINAMI GUMUCIO;118
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;MARIA ELENA;964;FRANCO ALDO PARISI FERNANDEZ;964
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;MARIA ELENA;0;VOTOS EN BLANCO;8
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;MARIA ELENA;0;VOTOS NULOS;16
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;MEJILLONES;747;GABRIEL BORIC FONT;747
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;MEJILLONES;589;JOSE ANTONIO KAST RIST;589
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;MEJILLONES;350;YASNA PROVOSTE CAMPILLAY;350
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;MEJILLONES;200;SEBASTIAN SICHEL RAMIREZ;200
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;MEJILLONES;52;EDUARDO ARTES BRICHETTI;52
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;MEJILLONES;270;MARCO ENRIQUEZ-OMINAMI GUMUCIO;270
